id,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Diff
0,-73.000000,-57.000000,-69.000000,-75.000000,nan,nan,nan,0.000000
1,-77.000000,-65.000000,-69.000000,-69.000000,-73.000000,-73.000000,nan,-4.000000
2,-77.000000,-65.000000,-69.000000,-69.000000,-73.000000,-73.000000,nan,0.000000
3,-77.000000,-61.000000,-65.000000,-67.000000,-73.000000,-81.000000,nan,0.000000
4,-77.000000,-61.000000,-65.000000,-67.000000,-73.000000,-81.000000,nan,0.000000
5,-77.000000,-55.000000,-69.000000,-71.000000,-71.000000,-83.000000,nan,0.000000
6,-77.000000,-55.000000,-69.000000,-71.000000,-71.000000,-83.000000,nan,0.000000
7,-79.000000,-53.000000,-71.000000,-71.000000,-75.000000,-85.000000,nan,-2.000000
8,-79.000000,-53.000000,-71.000000,-71.000000,-75.000000,-85.000000,nan,0.000000
9,-79.000000,-59.000000,-67.000000,-71.000000,-73.000000,-85.000000,nan,0.000000
10,-79.000000,-59.000000,-67.000000,-71.000000,-73.000000,-85.000000,nan,0.000000
11,-81.000000,-61.000000,-71.000000,-71.000000,-77.000000,-83.000000,nan,-2.000000
12,-81.000000,-61.000000,-71.000000,-71.000000,-77.000000,-83.000000,nan,0.000000
13,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan,4.000000
14,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan,0.000000
15,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan,0.000000
16,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan,0.000000
17,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan,0.000000
18,-77.000000,-61.000000,-67.000000,-71.000000,-77.000000,-79.000000,nan,0.000000
19,-73.000000,-59.000000,-63.000000,-73.000000,-73.000000,-73.000000,nan,4.000000
20,-73.000000,-59.000000,-63.000000,-73.000000,-73.000000,-73.000000,nan,0.000000
21,-73.000000,-59.000000,-63.000000,-73.000000,-73.000000,-73.000000,nan,0.000000
22,-73.000000,-59.000000,-63.000000,-73.000000,-73.000000,-73.000000,nan,0.000000
23,-73.000000,-59.000000,-63.000000,-73.000000,-73.000000,-73.000000,nan,0.000000
24,-73.000000,-55.000000,-65.000000,-67.000000,-69.000000,-79.000000,nan,0.000000
25,-73.000000,-55.000000,-65.000000,-67.000000,-69.000000,-79.000000,nan,0.000000
26,-73.000000,-55.000000,-65.000000,-67.000000,-69.000000,-79.000000,nan,0.000000
27,-73.000000,-55.000000,-65.000000,-67.000000,-69.000000,-79.000000,nan,0.000000
28,-75.000000,-49.000000,-57.000000,-65.000000,-67.000000,-79.000000,nan,-2.000000
29,-75.000000,-49.000000,-57.000000,-65.000000,-67.000000,-79.000000,nan,0.000000
30,-75.000000,-49.000000,-57.000000,-65.000000,-67.000000,-79.000000,nan,0.000000
31,-75.000000,-49.000000,-57.000000,-65.000000,-67.000000,-79.000000,nan,0.000000
32,-75.000000,-53.000000,-57.000000,-67.000000,-67.000000,-77.000000,nan,0.000000
33,-75.000000,-53.000000,-57.000000,-67.000000,-67.000000,-77.000000,nan,0.000000
34,-75.000000,-53.000000,-57.000000,-67.000000,-67.000000,-77.000000,nan,0.000000
35,-77.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan,-2.000000
36,-77.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan,0.000000
37,-77.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan,0.000000
38,-67.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan,10.000000
39,-67.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan,0.000000
40,-67.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan,0.000000
41,-71.000000,-57.000000,-59.000000,-67.000000,-67.000000,nan,nan,-4.000000
42,-71.000000,-57.000000,-63.000000,-67.000000,-71.000000,-83.000000,nan,0.000000
43,-71.000000,-57.000000,-63.000000,-67.000000,-71.000000,-83.000000,nan,0.000000
44,-71.000000,-57.000000,-63.000000,-67.000000,-71.000000,-83.000000,nan,0.000000
45,-71.000000,-61.000000,-65.000000,-69.000000,-75.000000,-85.000000,nan,0.000000
46,-71.000000,-61.000000,-65.000000,-69.000000,-75.000000,-85.000000,nan,0.000000
47,-73.000000,-55.000000,-67.000000,-73.000000,-79.000000,-81.000000,nan,-2.000000
48,-73.000000,-55.000000,-67.000000,-73.000000,-79.000000,-81.000000,nan,0.000000
49,-77.000000,-55.000000,-67.000000,-73.000000,-79.000000,-81.000000,nan,-4.000000
50,-77.000000,-65.000000,-75.000000,-79.000000,-79.000000,-79.000000,nan,0.000000
51,-77.000000,-65.000000,-75.000000,-79.000000,-79.000000,-79.000000,nan,0.000000
52,-75.000000,-65.000000,-75.000000,-79.000000,-79.000000,-79.000000,nan,2.000000
53,-83.000000,-43.000000,-75.000000,-75.000000,-79.000000,-87.000000,nan,-8.000000
54,-83.000000,-43.000000,-75.000000,-75.000000,-79.000000,-87.000000,nan,0.000000
55,-85.000000,-39.000000,-67.000000,-75.000000,-77.000000,-87.000000,-95.000000,-2.000000
56,-87.000000,-39.000000,-67.000000,-71.000000,-73.000000,-77.000000,nan,-2.000000
57,-87.000000,-39.000000,-67.000000,-71.000000,-73.000000,-77.000000,nan,0.000000
58,-89.000000,-45.000000,-65.000000,-67.000000,-71.000000,-73.000000,nan,-2.000000
59,-89.000000,-45.000000,-65.000000,-67.000000,-71.000000,-73.000000,nan,0.000000
60,-83.000000,-45.000000,-63.000000,-65.000000,-65.000000,-67.000000,nan,6.000000
61,-83.000000,-45.000000,-63.000000,-65.000000,-65.000000,-67.000000,nan,0.000000
62,-83.000000,-47.000000,-65.000000,-65.000000,-67.000000,-69.000000,nan,0.000000
63,-83.000000,-47.000000,-65.000000,-65.000000,-67.000000,-69.000000,nan,0.000000
64,-85.000000,-49.000000,-61.000000,-65.000000,-69.000000,-71.000000,nan,-2.000000
65,-85.000000,-49.000000,-61.000000,-65.000000,-69.000000,-71.000000,nan,0.000000
66,-79.000000,-45.000000,-55.000000,-67.000000,-69.000000,-71.000000,nan,6.000000
67,-79.000000,-45.000000,-55.000000,-67.000000,-69.000000,-71.000000,nan,0.000000
68,-83.000000,-45.000000,-55.000000,-67.000000,-69.000000,-71.000000,nan,-4.000000
69,-83.000000,-47.000000,-57.000000,-67.000000,-71.000000,-71.000000,nan,0.000000
70,-83.000000,-47.000000,-57.000000,-67.000000,-71.000000,-71.000000,nan,0.000000
71,-89.000000,21511.000000,-73.000000,nan,nan,nan,nan,0.000000
72,-89.000000,21511.000000,-73.000000,nan,nan,nan,nan,0.000000
73,-89.000000,21511.000000,-73.000000,nan,nan,nan,nan,0.000000
74,-89.000000,21511.000000,-73.000000,nan,nan,nan,nan,0.000000
75,-89.000000,21511.000000,-73.000000,nan,nan,nan,nan,0.000000
76,-97.000000,5957.000000,-31.000000,nan,nan,nan,nan,-8.000000
77,-99.000000,5957.000000,-31.000000,nan,nan,nan,nan,-2.000000
78,-99.000000,5957.000000,-31.000000,nan,nan,nan,nan,0.000000
79,-101.000000,5957.000000,-31.000000,nan,nan,nan,nan,-2.000000
80,-101.000000,5957.000000,-31.000000,-89.000000,nan,nan,nan,0.000000
81,-101.000000,5957.000000,-31.000000,-89.000000,nan,nan,nan,0.000000
82,-103.000000,5957.000000,-31.000000,nan,nan,nan,nan,-2.000000
83,-101.000000,5957.000000,-31.000000,nan,nan,nan,nan,2.000000
84,-103.000000,5957.000000,-47.000000,-91.000000,nan,nan,nan,-2.000000
85,-103.000000,5957.000000,-47.000000,-85.000000,nan,nan,nan,0.000000
86,-105.000000,5957.000000,-47.000000,-81.000000,nan,nan,nan,-2.000000
87,-105.000000,5957.000000,-47.000000,-81.000000,nan,nan,nan,0.000000
88,-105.000000,5957.000000,-47.000000,-75.000000,nan,nan,nan,0.000000
89,-95.000000,5957.000000,75.000000,-31.000000,-95.000000,nan,nan,10.000000
90,-95.000000,5957.000000,75.000000,-31.000000,-95.000000,nan,nan,0.000000
91,-99.000000,5957.000000,75.000000,-31.000000,-95.000000,nan,nan,-4.000000
92,-99.000000,5957.000000,75.000000,-31.000000,-103.000000,nan,nan,0.000000
93,-103.000000,5957.000000,75.000000,-31.000000,-103.000000,nan,nan,-4.000000
94,-103.000000,5957.000000,75.000000,-31.000000,-99.000000,nan,nan,0.000000
95,-103.000000,5957.000000,75.000000,-31.000000,-99.000000,nan,nan,0.000000
96,-105.000000,5957.000000,75.000000,-31.000000,-97.000000,nan,nan,-2.000000
97,-105.000000,5957.000000,-31.000000,-85.000000,nan,nan,nan,0.000000
98,-97.000000,5957.000000,-31.000000,-85.000000,nan,nan,nan,8.000000
99,-99.000000,5957.000000,75.000000,-47.000000,-79.000000,nan,nan,-2.000000
100,-101.000000,5957.000000,-47.000000,-83.000000,nan,nan,nan,-2.000000
101,-103.000000,5957.000000,-47.000000,-79.000000,nan,nan,nan,-2.000000
102,-103.000000,5957.000000,-47.000000,-79.000000,nan,nan,nan,0.000000
103,-105.000000,5957.000000,-47.000000,-77.000000,nan,nan,nan,-2.000000
104,-105.000000,5957.000000,-47.000000,-77.000000,nan,nan,nan,0.000000
105,-99.000000,5957.000000,-31.000000,-101.000000,nan,nan,nan,6.000000
106,-95.000000,5957.000000,-31.000000,-103.000000,nan,nan,nan,4.000000
107,-97.000000,5957.000000,-31.000000,-101.000000,nan,nan,nan,-2.000000
108,-101.000000,5957.000000,-31.000000,-103.000000,nan,nan,nan,-4.000000
109,-101.000000,5957.000000,75.000000,-31.000000,-105.000000,nan,nan,0.000000
110,-101.000000,5957.000000,75.000000,-31.000000,-93.000000,nan,nan,0.000000
111,-101.000000,5957.000000,75.000000,-31.000000,-93.000000,nan,nan,0.000000
112,-97.000000,5957.000000,-31.000000,-93.000000,nan,nan,nan,4.000000
113,-99.000000,5957.000000,-31.000000,-95.000000,nan,nan,nan,-2.000000
114,-101.000000,5957.000000,-31.000000,-95.000000,nan,nan,nan,-2.000000
115,-101.000000,5957.000000,-31.000000,nan,nan,nan,nan,0.000000
116,-101.000000,5957.000000,-31.000000,nan,nan,nan,nan,0.000000
117,-99.000000,5957.000000,-31.000000,nan,nan,nan,nan,2.000000
118,-99.000000,5957.000000,-31.000000,-95.000000,nan,nan,nan,0.000000
119,-99.000000,5957.000000,-31.000000,-95.000000,nan,nan,nan,0.000000
120,-101.000000,5957.000000,-31.000000,-95.000000,nan,nan,nan,-2.000000
121,-101.000000,5957.000000,-31.000000,-93.000000,nan,nan,nan,0.000000
122,-101.000000,5957.000000,-31.000000,-99.000000,nan,nan,nan,0.000000
123,-101.000000,5957.000000,-31.000000,-93.000000,nan,nan,nan,0.000000
124,-99.000000,5957.000000,-31.000000,-93.000000,nan,nan,nan,2.000000
125,-99.000000,5957.000000,-31.000000,-93.000000,nan,nan,nan,0.000000
126,-97.000000,5957.000000,-31.000000,-95.000000,nan,nan,nan,2.000000
127,-97.000000,5957.000000,-31.000000,-95.000000,nan,nan,nan,0.000000
128,-95.000000,5957.000000,-31.000000,-83.000000,nan,nan,nan,2.000000
129,-97.000000,5957.000000,-31.000000,-91.000000,nan,nan,nan,-2.000000
130,-97.000000,5957.000000,-31.000000,-91.000000,nan,nan,nan,0.000000
131,-99.000000,5957.000000,-31.000000,-85.000000,nan,nan,nan,-2.000000
132,-105.000000,5957.000000,129.000000,-75.000000,nan,nan,nan,-2.000000
133,-105.000000,5957.000000,129.000000,-75.000000,nan,nan,nan,0.000000
134,-107.000000,5957.000000,129.000000,-89.000000,nan,nan,nan,-2.000000
135,-101.000000,21511.000000,5957.000000,241.000000,129.000000,-99.000000,nan,6.000000
136,-103.000000,21511.000000,5957.000000,241.000000,129.000000,-99.000000,nan,-2.000000
137,-103.000000,21511.000000,5957.000000,241.000000,129.000000,-99.000000,nan,0.000000
138,-105.000000,21511.000000,5957.000000,241.000000,129.000000,-101.000000,nan,-2.000000
139,-105.000000,5957.000000,-31.000000,nan,nan,nan,nan,0.000000
140,-107.000000,5957.000000,-47.000000,nan,nan,nan,nan,-2.000000
141,-113.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
142,-113.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
143,-111.000000,5957.000000,-47.000000,nan,nan,nan,nan,2.000000
144,-111.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
145,-111.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
146,-109.000000,5957.000000,-47.000000,nan,nan,nan,nan,2.000000
147,-109.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
148,-109.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
149,-113.000000,-47.000000,nan,nan,nan,nan,nan,-4.000000
150,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
151,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
152,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
153,-113.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
154,-113.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
155,-107.000000,21461.000000,-31.000000,nan,nan,nan,nan,0.000000
156,-107.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
157,-109.000000,-31.000000,nan,nan,nan,nan,nan,-2.000000
158,-113.000000,-31.000000,nan,nan,nan,nan,nan,-4.000000
159,-111.000000,-31.000000,nan,nan,nan,nan,nan,2.000000
160,-111.000000,21557.000000,303.000000,-113.000000,nan,nan,nan,0.000000
161,-113.000000,-31.000000,nan,nan,nan,nan,nan,-2.000000
162,-113.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
163,-113.000000,5957.000000,-47.000000,nan,nan,nan,nan,0.000000
164,-113.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
165,-113.000000,-47.000000,nan,nan,nan,nan,nan,-2.000000
166,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
167,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
168,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
169,-113.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
170,-109.000000,5957.000000,-31.000000,nan,nan,nan,nan,4.000000
171,-109.000000,5957.000000,-31.000000,nan,nan,nan,nan,0.000000
172,-113.000000,-31.000000,nan,nan,nan,nan,nan,-4.000000
173,-109.000000,21557.000000,129.000000,-113.000000,nan,nan,nan,0.000000
174,-109.000000,21557.000000,129.000000,-113.000000,nan,nan,nan,0.000000
175,-111.000000,-47.000000,nan,nan,nan,nan,nan,-4.000000
176,-111.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
177,-111.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
178,-109.000000,-47.000000,nan,nan,nan,nan,nan,2.000000
179,-101.000000,-31.000000,nan,nan,nan,nan,nan,8.000000
180,-101.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
181,-103.000000,-31.000000,nan,nan,nan,nan,nan,-2.000000
182,-103.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
183,-103.000000,21511.000000,-31.000000,nan,nan,nan,nan,0.000000
184,-105.000000,21511.000000,-31.000000,nan,nan,nan,nan,-2.000000
185,-107.000000,21511.000000,-31.000000,nan,nan,nan,nan,-2.000000
186,-107.000000,21511.000000,-31.000000,nan,nan,nan,nan,0.000000
187,-107.000000,21511.000000,-31.000000,nan,nan,nan,nan,0.000000
188,-107.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
189,-105.000000,-31.000000,nan,nan,nan,nan,nan,2.000000
190,-105.000000,21557.000000,129.000000,-113.000000,nan,nan,nan,-2.000000
191,-107.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
192,-109.000000,5957.000000,-31.000000,nan,nan,nan,nan,-2.000000
193,-107.000000,5957.000000,-31.000000,nan,nan,nan,nan,2.000000
194,-109.000000,-31.000000,nan,nan,nan,nan,nan,-2.000000
195,-109.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
196,-109.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
197,-109.000000,21461.000000,-31.000000,nan,nan,nan,nan,0.000000
198,-113.000000,21461.000000,-31.000000,nan,nan,nan,nan,-4.000000
199,-113.000000,21461.000000,-31.000000,nan,nan,nan,nan,0.000000
200,-113.000000,5957.000000,303.000000,-75.000000,nan,nan,nan,0.000000
201,-111.000000,5957.000000,303.000000,-75.000000,nan,nan,nan,2.000000
202,-111.000000,21461.000000,-31.000000,nan,nan,nan,nan,0.000000
203,-111.000000,21461.000000,-31.000000,nan,nan,nan,nan,0.000000
204,-113.000000,-31.000000,nan,nan,nan,nan,nan,-2.000000
205,-113.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
206,-113.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
207,-109.000000,21557.000000,303.000000,-31.000000,-113.000000,nan,nan,0.000000
208,-107.000000,21557.000000,303.000000,-31.000000,-113.000000,nan,nan,2.000000
209,-107.000000,21557.000000,303.000000,-31.000000,-111.000000,nan,nan,0.000000
210,-107.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
211,-109.000000,-31.000000,nan,nan,nan,nan,nan,-2.000000
212,-109.000000,-47.000000,nan,nan,nan,nan,nan,0.000000
213,-113.000000,21461.000000,-47.000000,nan,nan,nan,nan,-2.000000
214,-111.000000,21461.000000,-47.000000,nan,nan,nan,nan,2.000000
215,-113.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
216,-113.000000,-31.000000,nan,nan,nan,nan,nan,0.000000
217,-95.000000,-87.000000,nan,nan,nan,nan,nan,-2.000000
218,-95.000000,-87.000000,nan,nan,nan,nan,nan,0.000000
219,-95.000000,-87.000000,nan,nan,nan,nan,nan,0.000000
220,-97.000000,-87.000000,nan,nan,nan,nan,nan,-2.000000
221,-97.000000,-87.000000,nan,nan,nan,nan,nan,0.000000
222,-97.000000,-87.000000,nan,nan,nan,nan,nan,0.000000
223,-97.000000,-87.000000,nan,nan,nan,nan,nan,0.000000
224,-97.000000,-87.000000,nan,nan,nan,nan,nan,0.000000
225,-97.000000,-85.000000,nan,nan,nan,nan,nan,0.000000
226,-97.000000,-85.000000,nan,nan,nan,nan,nan,0.000000
227,-97.000000,-85.000000,-95.000000,nan,nan,nan,nan,0.000000
228,-97.000000,-85.000000,-95.000000,nan,nan,nan,nan,0.000000
229,-95.000000,-85.000000,-95.000000,nan,nan,nan,nan,2.000000
230,-95.000000,-85.000000,-95.000000,nan,nan,nan,nan,0.000000
231,-95.000000,-83.000000,-83.000000,nan,nan,nan,nan,0.000000
232,-95.000000,-83.000000,-83.000000,nan,nan,nan,nan,0.000000
233,-95.000000,-83.000000,-83.000000,nan,nan,nan,nan,0.000000
234,-93.000000,-83.000000,-83.000000,nan,nan,nan,nan,2.000000
235,-93.000000,-83.000000,-83.000000,nan,nan,nan,nan,0.000000
236,-93.000000,-77.000000,-81.000000,-97.000000,nan,nan,nan,0.000000
237,-93.000000,-77.000000,-81.000000,-97.000000,nan,nan,nan,0.000000
238,-93.000000,-77.000000,-81.000000,-97.000000,nan,nan,nan,0.000000
239,-93.000000,-77.000000,-81.000000,-81.000000,-93.000000,nan,nan,0.000000
240,-93.000000,-77.000000,-81.000000,-81.000000,-93.000000,nan,nan,0.000000
241,-95.000000,-77.000000,-81.000000,-83.000000,-93.000000,-93.000000,nan,-2.000000
242,-95.000000,-77.000000,-81.000000,-83.000000,-93.000000,-93.000000,nan,0.000000
243,-95.000000,-79.000000,-81.000000,-83.000000,-91.000000,-93.000000,nan,0.000000
244,-95.000000,-79.000000,-81.000000,-83.000000,-91.000000,-93.000000,nan,0.000000
245,-95.000000,-79.000000,-81.000000,-83.000000,-91.000000,-93.000000,nan,0.000000
246,-97.000000,-77.000000,-81.000000,-83.000000,-89.000000,nan,nan,-2.000000
247,-97.000000,-77.000000,-81.000000,-83.000000,-87.000000,-89.000000,nan,0.000000
248,-97.000000,-77.000000,-81.000000,-83.000000,-87.000000,-87.000000,nan,0.000000
